Organisation,Service Area,Expenditure Unit,Expenditure Code,Paid Date,Trans No,Amount,caporrev,Supplier ID,Supplier Name
Oxford City Council,Direct Services,Furniture & Equipment Maintenance & Repairs,D3002,31/03/2015,60035399_1,1020.00,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Oxford City Council,Direct Services,Materials,D3021,31/03/2015,60035401_1,1350.00,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Oxford City Council,Direct Services,Materials,D3021,31/03/2015,60035686_0,1470.00,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Oxford City Council,Direct Services,Tools,D3023,31/03/2015,60035687_2,505.00,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311,31/03/2015,60035693_2,510.00,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Oxford City Council,Direct Services,Furniture & Equipment Maintenance & Repairs,D3002,31/03/2015,60035695_2,3597.50,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Oxford City Council,Direct Services,Tools,D3023,31/03/2015,60035700_0,556.00,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Oxford City Council,Direct Services,Tools,D3023,31/03/2015,60035706_0,1293.50,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Oxford City Council,Direct Services,Materials,D3021   ,06/01/2015,60031174_1,1403.03,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,20/01/2015,60031575_0,1276.49,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,20/01/2015,60031613_0,2428.63,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,20/01/2015,60031617_0,1049.53,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,20/01/2015,60031619_0,1297.17,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,20/01/2015,60031622_2,518.85,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,20/01/2015,60031679_1,650.58,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,20/01/2015,60031680_1,650.58,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,27/01/2015,60031864_0,1750.13,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,27/01/2015,60031868_0,633.05,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,27/01/2015,60032004_2,613.39,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,27/01/2015,60032020_2,856.46,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,03/02/2015,60032167_0,594.06,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,03/02/2015,60032169_0,693.09,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,03/02/2015,60032330_1,2379.79,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,03/02/2015,60032332_1,1996.19,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,03/02/2015,60032360_1,873.36,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,10/02/2015,60032611_1,4814.75,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,10/02/2015,60032716_1,2604.07,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,10/02/2015,60032717_1,1008.37,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,17/02/2015,60033001_0,1061.98,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,24/02/2015,60033476_1,1770.98,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,24/02/2015,60033578_1,2435.98,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,10/03/2015,60034160_0,1589.14,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,10/03/2015,60034172_1,2176.01,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,10/03/2015,60034174_1,1174.52,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,10/03/2015,60034176_1,1107.25,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,10/03/2015,60034241_1,1899.98,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021,24/03/2015,60034824_1,1878.33,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021,24/03/2015,60034827_1,1289.91,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021,24/03/2015,60034828_1,786.31,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021,24/03/2015,60034829_1,899.87,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021,31/03/2015,60035800_1,1040.00,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021,31/03/2015,60035807_1,505.93,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Materials,D3021,31/03/2015,60035808_1,643.33,Revenue,20002464,WOLSELEY UK LIMITED
Oxford City Council,Direct Services,Supply & Collection Of Litter Bins,B1171   ,24/02/2015,60033525_1,3273.75,Revenue,20002466,WYBONE LTD
Oxford City Council,Direct Services,Materials,D3021   ,10/03/2015,60034093_2,809.11,Revenue,20002467,AWBS LTD
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,27/01/2015,1012253_1,124122.50,Capital,20002494,E W BEARD LTD
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,24/02/2015,1013250_1,220995.46,Capital,20002494,E W BEARD LTD
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,31/03/2015,48021165_1,138343.79,Capital,20002494,E W BEARD LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,03/02/2015,60032441_0,2357.44,Revenue,20002513,MARCUS COPELIN
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032785_1,1200.00,Revenue,20002513,MARCUS COPELIN
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032790_0,1200.00,Revenue,20002513,MARCUS COPELIN
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/03/2015,60034128_0,2800.00,Revenue,20002513,MARCUS COPELIN
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/03/2015,60034139_1,1900.00,Revenue,20002513,MARCUS COPELIN
Oxford City Council,Environmental Development,General Contracted Services,D3401,24/03/2015,1014441_1,1515.00,Revenue,20002517,DAMPROT RENOVATIONS LTD
Oxford City Council,Human Resources & Facilities,Furniture & Equipment Purchase,D3001,03/03/2015,1013760_1,970.00,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,HRA,Fire Alarms and Emergency Lighting,B1241,27/01/2015,46284532_1,7100.83,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Regeneration and Major Projects Team,Fire Alarms and Emergency Lighting,B1241,27/01/2015,46284532_2,53.88,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Regeneration and Major Projects Team,Fire Alarms and Emergency Lighting,B1241,27/01/2015,46284532_3,1149.99,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Housing and Property,Fire Alarms and Emergency Lighting,B1241,27/01/2015,46284532_4,512.81,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Regeneration and Major Projects Team,Fire Alarms and Emergency Lighting,B1241,27/01/2015,46284532_5,2150.00,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Regeneration and Major Projects Team,Fire Alarms and Emergency Lighting,B1241,27/01/2015,46284532_6,137.49,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Human Resources & Facilities,Services Maintenance (Planned),B1103,03/02/2015,46284637_1,1550.00,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Human Resources & Facilities,Services Maintenance (Planned),B1103,17/02/2015,46284760_1,995.00,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,HRA,Fire Alarms and Emergency Lighting,B1241,03/03/2015,46284883_1,5397.00,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,HRA,Fire Alarms and Emergency Lighting,B1241,03/03/2015,46284883_2,448.00,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Regeneration and Major Projects Team,Fire Alarms and Emergency Lighting,B1241,03/03/2015,46284883_3,475.00,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Regeneration and Major Projects Team,Fire Alarms and Emergency Lighting,B1241,03/03/2015,46284883_4,95.25,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Housing and Property,Fire Alarms and Emergency Lighting,B1241,03/03/2015,46284883_5,8293.95,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Regeneration and Major Projects Team,Fire Alarms and Emergency Lighting,B1241,03/03/2015,46284883_6,980.00,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Direct Services,Fire Alarms and Emergency Lighting,B1241,03/03/2015,46284883_7,40.00,Revenue,20002568,PYROTEC SERVICES LTD
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,03/03/2015,46284883_8,3315.00,Capital,20002568,PYROTEC SERVICES LTD
Oxford City Council,Housing and Property,Main Contractor,Y021,17/02/2015,48021117_1,1270.00,Capital,20002568,PYROTEC SERVICES LTD
Oxford City Council,Housing and Property,Main Contractor,Y021,17/02/2015,48021118_1,3763.90,Capital,20002568,PYROTEC SERVICES LTD
Oxford City Council,Leisure  Parks & Communities,Materials,D3021,17/02/2015,1012696_1,814.70,Revenue,20002617,W G POWELL
Oxford City Council,Direct Services,Category 'B' Stores,D3022   ,20/01/2015,60031609_0,546.42,Revenue,20002653,H TUCKWELL & SONS LTD
Oxford City Council,Direct Services,Materials,D3021   ,03/02/2015,60032429_0,500.10,Revenue,20002653,H TUCKWELL & SONS LTD
Oxford City Council,Suspense,Materials,D3021,31/03/2015,60035805_1,519.16,Revenue,20002653,H TUCKWELL & SONS LTD
Oxford City Council,Direct Services,Materials,D3021   ,06/01/2015,60031074_0,763.60,Revenue,20002679,LOCKS & LATCHES (STAFFORD) LTD
Oxford City Council,Direct Services,Materials,D3021   ,10/03/2015,60034082_0,593.10,Revenue,20002679,LOCKS & LATCHES (STAFFORD) LTD
Oxford City Council,Direct Services,Materials,D3021   ,20/01/2015,60031569_0,806.85,Revenue,20002680,OXFORD SAFETY SUPPLIES
Oxford City Council,Direct Services,Protective Clothing,D3201   ,20/01/2015,60031583_0,948.00,Revenue,20002680,OXFORD SAFETY SUPPLIES
Oxford City Council,Direct Services,Materials,D3021   ,27/01/2015,60031825_2,1719.85,Revenue,20002680,OXFORD SAFETY SUPPLIES
Oxford City Council,Direct Services,Materials,D3021   ,10/02/2015,60032481_0,1854.10,Revenue,20002680,OXFORD SAFETY SUPPLIES
Oxford City Council,Direct Services,Materials,D3021   ,10/02/2015,60032536_2,557.10,Revenue,20002680,OXFORD SAFETY SUPPLIES
Oxford City Council,Direct Services,Protective Clothing,D3201   ,17/02/2015,60033086_2,799.00,Revenue,20002680,OXFORD SAFETY SUPPLIES
Oxford City Council,Direct Services,Materials,D3021,24/03/2015,60034815_1,1640.75,Revenue,20002680,OXFORD SAFETY SUPPLIES
Oxford City Council,Direct Services,Materials,D3021,24/03/2015,60034869_0,595.00,Revenue,20002680,OXFORD SAFETY SUPPLIES
Oxford City Council,Direct Services,Materials,D3021,24/03/2015,60034883_0,3740.60,Revenue,20002680,OXFORD SAFETY SUPPLIES
Oxford City Council,Direct Services,Materials,D3021,24/03/2015,60035105_0,1347.95,Revenue,20002680,OXFORD SAFETY SUPPLIES
Oxford City Council,Direct Services,Materials,D3021   ,06/01/2015,60031055_2,1052.27,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021   ,13/01/2015,60031183_2,2125.92,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021   ,20/01/2015,60031610_2,2151.73,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021   ,27/01/2015,60032077_1,2137.72,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021   ,03/02/2015,60032410_1,2083.89,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021   ,10/02/2015,60032685_1,1057.43,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021   ,17/02/2015,60033015_0,2092.01,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021   ,17/02/2015,60033153_1,2100.11,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021   ,17/03/2015,60034471_1,3183.35,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021   ,17/03/2015,60034472_1,2098.64,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021,24/03/2015,60034637_2,2133.30,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021,31/03/2015,60035403_1,1086.93,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Materials,D3021,31/03/2015,60035515_1,3248.99,Revenue,20002690,SALT UNION LTD
Oxford City Council,Direct Services,Sign Shop Materials,D3018   ,06/01/2015,60031112_0,1105.60,Revenue,20002698,SPANDEX  LTD.  (UK)  COLLECTIONS
Oxford City Council,Direct Services,Sign Shop Materials,D3018   ,17/02/2015,60033142_2,874.79,Revenue,20002698,SPANDEX  LTD.  (UK)  COLLECTIONS
Oxford City Council,Direct Services,Materials,D3021   ,10/02/2015,60032699_1,565.00,Revenue,20002712,CLEANSING SERVICE GROUP LTD
Oxford City Council,Direct Services,Reactive Maintenance & Minor Repairs,B1101   ,10/02/2015,60032917_1,1349.00,Revenue,20002712,CLEANSING SERVICE GROUP LTD
Oxford City Council,Policy  Culture and Communication,General Contracted Services,D3401,24/02/2015,1013277_1,1200.00,Revenue,20002720,CARBON COLOUR COMPANY LTD
Oxford City Council,Policy  Culture and Communication,Advertising & Publicity,D3802,17/03/2015,1014044_1,538.12,Revenue,20002720,CARBON COLOUR COMPANY LTD
Oxford City Council,Housing and Property,Advertising & Publicity,D3802,17/03/2015,1014182_1,1105.00,Revenue,20002720,CARBON COLOUR COMPANY LTD
Oxford City Council,Direct Services,Contributions,D3702   ,10/03/2015,60034095_1,1631.74,Revenue,20002893,CHERWELL DISTRICT COUNCIL
Oxford City Council,Law and Governance,Consultants Fees,D3411,20/01/2015,1012291_1,1004.39,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,City Development,Stamp Duty & Other Legal Fees,D3415,27/01/2015,1012625_1,517.50,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Human Resources & Facilities,Contract Printing (External),D3303,03/02/2015,1012800_1,4510.83,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Environmental Development,Other Contributions,Y995,03/02/2015,1012861_1,50000.00,Capital,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Regeneration and Major Projects Team,Counsel & External Legal Fees,D3417,10/02/2015,1012927_1,1600.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Policy  Culture and Communication,Temporary Bureau Staffing,A0108,24/02/2015,1013347_1,8703.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Human Resources & Facilities,Storage Costs,D3430,24/02/2015,1013473_1,2200.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Human Resources & Facilities,Contract Printing (External),D3303,24/02/2015,1013502_1,13936.57,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,City Development,Stamp Duty & Other Legal Fees,D3415,17/03/2015,1014051_1,526.50,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Human Resources & Facilities,Contract Printing (External),D3303,31/03/2015,1014234_1,5746.17,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Environmental Development,Grants,D3701,31/03/2015,1014250_1,3750.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Leisure  Parks & Communities,Counsel & External Legal Fees,D3417,24/03/2015,1014424_1,821.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Law and Governance,Subscriptions,D3703,31/03/2015,1014561_1,3000.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,27/01/2015,46282030_1,11119.33,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,24/02/2015,46282031_1,11119.33,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,27/01/2015,46282448_1,3582.66,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,24/02/2015,46282449_1,3582.66,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Transformation,Consultants Fees,D3411,17/02/2015,46284745_1,9750.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,General Contracted Services,D3401,17/02/2015,46284756_1,120375.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,General Contracted Services,D3401,17/02/2015,46284756_2,130974.13,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,General Contracted Services,D3401,17/02/2015,46284756_3,1759.44,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Housing and Property,Hardware Purchase,D3520,17/02/2015,46284787_1,25.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Customer Services,Software Purchase,D3511,17/02/2015,46284787_10,138.71,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Environmental Development,Software Purchase,D3511,17/02/2015,46284787_11,113.88,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Environmental Development,Software Purchase,D3511,17/02/2015,46284787_12,138.71,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Environmental Development,Software Maintenance/Running Costs,D3513,17/02/2015,46284787_13,113.88,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,City Development,Software Maintenance/Running Costs,D3513,17/02/2015,46284787_14,224.73,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Software Purchase,D3511,17/02/2015,46284787_15,503.63,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Software Maintenance/Running Costs,D3513,17/02/2015,46284787_16,258.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Customer Services,Waste Disposal & Skip Hire,D3420,17/02/2015,46284787_17,69.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Customer Services,Hardware Purchase,D3520,17/02/2015,46284787_18,7.50,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Customer Services,Hardware Purchase,D3520,17/02/2015,46284787_19,3.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Housing and Property,Hardware Purchase,D3520,17/02/2015,46284787_2,20.14,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Human Resources & Facilities,Software Purchase,D3511,17/02/2015,46284787_20,113.88,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Software Maintenance/Running Costs,D3513,17/02/2015,46284787_21,55.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Customer Services,Software Purchase,D3511,17/02/2015,46284787_22,138.71,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Software Maintenance/Running Costs,D3513,17/02/2015,46284787_23,1481.34,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Software Maintenance/Running Costs,D3513,17/02/2015,46284787_24,2962.66,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Software Purchase,D3511,17/02/2015,46284787_25,55.94,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Leisure  Parks & Communities,Hardware Contracted Maintenance,D3522,17/02/2015,46284787_26,108.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Leisure  Parks & Communities,Hardware Purchase,D3520,17/02/2015,46284787_27,23.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Leisure  Parks & Communities,Hardware Purchase,D3520,17/02/2015,46284787_28,2.50,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Leisure  Parks & Communities,Hardware Purchase,D3520,17/02/2015,46284787_29,3.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Policy  Culture and Communication,Hardware Purchase,D3520,17/02/2015,46284787_3,562.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Human Resources & Facilities,Software Purchase,D3511,17/02/2015,46284787_30,253.25,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Hardware Contracted Maintenance,D3522,17/02/2015,46284787_31,264.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Customer Services,Hardware Purchase,D3520,17/02/2015,46284787_32,23.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Customer Services,Hardware Purchase,D3520,17/02/2015,46284787_33,2.50,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Customer Services,Hardware Purchase,D3520,17/02/2015,46284787_34,3.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Direct Services,Hardware Purchase,D3520,17/02/2015,46284787_35,46.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Direct Services,Hardware Purchase,D3520,17/02/2015,46284787_36,5.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Direct Services,Hardware Purchase,D3520,17/02/2015,46284787_37,3.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Customer Services,Hardware Purchase,D3520,17/02/2015,46284787_38,297.18,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Software Maintenance/Running Costs,D3513,17/02/2015,46284787_39,701.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Policy  Culture and Communication,Hardware Purchase,D3520,17/02/2015,46284787_4,70.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Direct Services,Hardware Purchase,D3520,17/02/2015,46284787_40,12.34,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Direct Services,Software Purchase,D3511,17/02/2015,46284787_41,29.26,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Environmental Development,Network Purchases,D3530,17/02/2015,46284787_42,35.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,HRA,Network Purchases,D3530,17/02/2015,46284787_43,35.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,City Development,Network Purchases,D3530,17/02/2015,46284787_44,35.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Internal Telephone Recharges,D3502,17/02/2015,46284787_45,35.97,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Internal Telephone Recharges,D3502,17/02/2015,46284787_46,35.97,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Internal Telephone Recharges,D3502,17/02/2015,46284787_47,117.90,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Internal Telephone Recharges,D3502,17/02/2015,46284787_48,117.90,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Internal Telephone Recharges,D3502,17/02/2015,46284787_49,128.62,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Policy  Culture and Communication,Hardware Purchase,D3520,17/02/2015,46284787_5,10.75,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Customer Services,Hardware Purchase,D3520,17/02/2015,46284787_6,562.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Customer Services,Hardware Purchase,D3520,17/02/2015,46284787_7,70.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,City Development,Software Maintenance/Running Costs,D3513,17/02/2015,46284787_8,1401.41,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,City Development,Software Maintenance/Running Costs,D3513,17/02/2015,46284787_9,166.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Direct Services,Contract Parking Income,K9486,17/03/2015,46285067_1,3000.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Leisure  Parks & Communities,Main Contractor,Y021,27/01/2015,48021108_1,205809.37,Capital,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Business Improvement & Technology,Main Contractor,Y021,17/02/2015,48021121_1,3760.13,Capital,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,HRA,Miscellaneous Fees,Y173,17/02/2015,48021123_1,6584.15,Capital,20002930,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,Direct Services,General Contracted Services,D3401   ,27/01/2015,60032066_1,6375.87,Revenue,20002955,PORTAKABIN LIMITED
Oxford City Council,Direct Services,General Contracted Services,D3401   ,27/01/2015,60032067_1,7640.00,Revenue,20002955,PORTAKABIN LIMITED
Oxford City Council,Direct Services,General Contracted Services,D3401   ,03/02/2015,60032390_1,7058.99,Revenue,20002955,PORTAKABIN LIMITED
Oxford City Council,Direct Services,Contract Plant Hire,C2402   ,03/02/2015,60032407_0,1353.33,Revenue,20002955,PORTAKABIN LIMITED
Oxford City Council,Direct Services,General Contracted Services,D3401   ,17/02/2015,60033076_2,7058.99,Revenue,20002955,PORTAKABIN LIMITED
Oxford City Council,Direct Services,Reactive Maintenance & Minor Repairs,B1101,27/01/2015,1012322_1,1932.46,Revenue,20002957,BMA VARSITY LTD
