Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
Community Services,Main Contractor,Y021,17/01/2017,1034406 - 0,8164.75,Capital,20011767,ABACUS LIGHTING LIMITED
Community Services,Main Contractor,Y021,17/01/2017,1034407 - 0,1992.00,Capital,20011767,ABACUS LIGHTING LIMITED
Community Services,General Contracted Services,D3401,17/01/2017,1034467 - 0,1000.00,Revenue,20018343,EUTON DALEY
Community Services,General Contracted Services,D3401,07/02/2017,1034491 - 0,3833.60,Revenue,20015211,FUSION LIFESTYLE
Community Services,Consultants Fees,D3411,24/01/2017,1034504 - 0,1470.00,Revenue,20019305,BELVEDERE PROJECT SOLUTIONS LLP
Community Services,Awards / Prizes,D3705,07/02/2017,1034508 - 0,1000.00,Revenue,20018503,THE GIFT VOUCHER SHOP
Community Services,Furniture & Equipment Purchase,D3001,07/02/2017,1034513 - 0,2000.00,Revenue,20019414,PHOENIX SPORTING GOODS LTD
Community Services,Instructors & Coaching Fees,D3413,07/02/2017,1034600 - 0,580.00,Revenue,20009533,AYLESBURY VALE DISTRICT COUNCIL
Community Services,Advertising & Publicity,D3802,14/02/2017,1034613 - 0,720.00,Revenue,20018196,CUTTLEFISH MULTIMEDIA LTD
Community Services,Services Maintenance (Planned),B1103,24/01/2017,1034619 - 0,6313.00,Revenue,20015211,FUSION LIFESTYLE
Community Services,Main Contractor,Y021,31/01/2017,1034634 - 0,7720.00,Capital,20015951,MACE LIMITED
Community Services,Main Contractor,Y021,24/01/2017,1034648 - 0,2462.00,Capital,20013489,BAKER SHEPHERD GILLESPIE
Community Services,General Contracted Services,D3401,14/02/2017,1034657 - 0,500.00,Revenue,20019272,DIVERSITI UK
Community Services,Consultants Fees,D3411,31/01/2017,1034683 - 0,6729.00,Revenue,20009686,M.E.L. RESEARCH LTD
Community Services,Security Services,D3418,07/02/2017,1034692 - 0,452.80,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
Community Services,Security Services,D3418,14/02/2017,1034696 - 0,566.00,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
Community Services,Advertising & Publicity,D3802,31/01/2017,1034750 - 0,1200.00,Revenue,20003025,PETE RUSSELL
Community Services,Advertising & Publicity,D3802,31/01/2017,1034752 - 0,1080.00,Revenue,20003025,PETE RUSSELL
Community Services,Awards / Prizes,D3705,07/03/2017,1034761 - 0,1304.25,Revenue,20012816,RUNNING IMP INTERNATIONAL SPORTS LTD
Community Services,Cleaning Materials,B1601,14/02/2017,1034769 - 0,424.08,Revenue,20018021,UNISAN
Community Services,Photocopying/Paper Supplies,D3306,14/02/2017,1034775 - 1,2155.05,Revenue,20002121,CANON (UK) LTD
Community Services,Consultants Fees,D3411,31/01/2017,1034789 - 0,1854.00,Revenue,20016762,IAN NOLAN EVENTS LTD
Community Services,Services Maintenance (Planned),B1103,31/01/2017,1034793 - 0,2120.86,Revenue,20015211,FUSION LIFESTYLE
Community Services,Consultants Fees,D3411,14/02/2017,1034826 - 0,2500.00,Revenue,20019306,MUSEOPHILE LTD
Community Services,Main Contractor,Y021,31/01/2017,1034838 - 0,7720.00,Capital,20015951,MACE LIMITED
Community Services,Main Contractor,Y021,31/01/2017,1034839 - 0,7720.00,Capital,20015951,MACE LIMITED
Community Services,General Contracted Services,D3401,31/01/2017,1034850 - 0,420.00,Revenue,20014935,COMPUTERISED & DIGITAL SECURITY SYSTEMS LTD
Community Services,General Contracted Services,D3401,07/02/2017,1034864 - 0,510.00,Revenue,20015921,RIGHT ANGLE DESIGN
Community Services,Instructors & Coaching Fees,D3413,31/01/2017,1034869 - 0,4000.00,Revenue,20002893,CHERWELL DISTRICT COUNCIL
Community Services,General Contracted Services,D3401,21/02/2017,1034912 - 0,798.00,Revenue,20017887,CREATE DEVELOPMENT
Community Services,Instructors & Coaching Fees,D3413,07/02/2017,1034916 - 0,3500.00,Revenue,20007892,VALE OF WHITE HORSE DC
Community Services,Instructors & Coaching Fees,D3413,07/02/2017,1034917 - 0,4000.00,Revenue,20007892,VALE OF WHITE HORSE DC
Community Services,Instructors & Coaching Fees,D3413,07/02/2017,1034918 - 0,3000.00,Revenue,20002401,SOUTH OXFORDSHIRE DISTRICT COUNCIL
Community Services,Instructors & Coaching Fees,D3413,07/02/2017,1034919 - 0,3000.00,Revenue,20002401,SOUTH OXFORDSHIRE DISTRICT COUNCIL
Community Services,Conferences,D3602,07/02/2017,1034927 - 0,1580.00,Revenue,20019377,RESOLVE ASB
Community Services,Consultants Fees,D3411,07/02/2017,1034952 - 0,2153.70,Revenue,20018107,PURCELL MILLER TRITTON LLP T/A PURCELL
Community Services,Furniture & Equipment Purchase,D3001,28/02/2017,1034969 - 0,764.00,Revenue,20008259,EVAC+CHAIR  INTERNATIONAL LTD
Community Services,Provisions,D3101,07/02/2017,1034981 - 0,364.70,Revenue,20017894,OTHC LEMON ZEST
Community Services,Town Hall Catering Recharge,D3104,07/02/2017,1034981 - 1,2146.55,Revenue,20017894,OTHC LEMON ZEST
Community Services,Consultants Fees,D3411,28/02/2017,1034984 - 0,3800.00,Revenue,20017380,NATALIE CHAMBERS
Community Services,Instructors & Coaching Fees,D3413,07/02/2017,1035023 - 0,658.78,Revenue,20002401,SOUTH OXFORDSHIRE DISTRICT COUNCIL
Community Services,Consultants Fees,D3411,07/02/2017,1035026 - 0,3240.00,Revenue,20019294,Simon Leach Design
Community Services,Cleaning Materials,B1601,28/02/2017,1035030 - 0,429.01,Revenue,20016920,ALLIANCE DISPOSABLES LTD
Community Services,Furniture & Equipment Purchase,D3001,14/02/2017,1035032 - 0,2128.01,Revenue,20017460,ACDISCO LIGHT  AND PA HIRE
Community Services,General Contracted Services,D3401,14/02/2017,1035035 - 0,1656.00,Revenue,20018218,THE SPORT FOR STREETS INITIATIVE
Community Services,General Contracted Services,D3401,14/02/2017,1035051 - 0,1350.00,Revenue,20016981,SCOPE SECURITY LTD
Community Services,Security Services,D3418,14/02/2017,1035052 - 0,1050.00,Revenue,20016981,SCOPE SECURITY LTD
Community Services,General Contracted Services,D3401,14/02/2017,1035053 - 0,1350.00,Revenue,20016981,SCOPE SECURITY LTD
Community Services,General Contracted Services,D3401,14/02/2017,1035054 - 0,1350.00,Revenue,20016981,SCOPE SECURITY LTD
Community Services,Instructors & Coaching Fees,D3413,14/02/2017,1035072 - 0,4530.00,Revenue,20018218,THE SPORT FOR STREETS INITIATIVE
Community Services,Conferences,D3602,14/02/2017,1035084 - 0,4960.00,Revenue,20013769,FIROKA (OXFORD UNITED STADIUM) LTD
Community Services,General Contracted Services,D3401,14/02/2017,1035110 - 0,3300.00,Revenue,20015597,OXFORDSHIRE MIND
Community Services,Goods For Resale,D3011,07/03/2017,1035131 - 0,2100.00,Revenue,20019374,JOEDAISY STUDIO
Community Services,Management Development,A0637,28/02/2017,1035151 - 0,742.81,Revenue,20018260,K R JOHNSTON
Community Services,Security Services,D3418,28/02/2017,1035157 - 0,566.00,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
Community Services,Security Services,D3418,21/02/2017,1035161 - 0,566.00,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
Community Services,Security Services,D3418,21/03/2017,1035190 - 0,690.00,Revenue,20009730,R & R FRONTLINE SERVICES LTD
Community Services,Security Services,D3418,28/02/2017,1035209 - 0,4063.50,Revenue,20016981,SCOPE SECURITY LTD
Community Services,Advertising & Publicity,D3802,07/03/2017,1035245 - 0,641.67,Revenue,20014286,ELMER COTTON SPORTS
Community Services,Consultants Fees,D3411,28/02/2017,1035249 - 0,1470.00,Revenue,20019305,BELVEDERE PROJECT SOLUTIONS LLP
Community Services,General Contracted Services,D3401,21/02/2017,1035260 - 0,1200.00,Revenue,20018343,EUTON DALEY
Community Services,Consultants Fees,D3411,21/02/2017,1035262 - 0,1000.00,Revenue,20019429,OXFORD IMPACT CONSULTANCY
Community Services,General Contracted Services,D3401,17/02/2017,1035264 - 0,13004.26,Revenue,20018633,PIGGOTTS COMPANY LTD
Community Services,Contract Printing (External),D3303,21/02/2017,1035273 - 0,452.06,Revenue,20007876,SIEMENS FINANCIAL SERVICES LTD
Community Services,General Contracted Services,D3401,07/03/2017,1035276 - 0,48409.00,Revenue,20015211,FUSION LIFESTYLE
Community Services,Contract Cleaning,B1602,21/02/2017,1035281 - 0,557.36,Revenue,20003172,RENTOKIL INITIAL SERVICES NO1
Community Services,Provisions,D3101,07/03/2017,1035303 - 0,882.50,Revenue,20009224,LAMB CATERING LTD
Community Services,Consultants Fees,D3411,28/02/2017,1035316 - 0,2500.00,Revenue,20019306,MUSEOPHILE LTD
Community Services,Consultants Fees,D3411,14/03/2017,1035332 - 0,2700.00,Revenue,20019300,Katie Norgrove T/A Cultural Consulting
Community Services,Consultants Fees,D3411,14/03/2017,1035333 - 0,1950.00,Revenue,20019300,Katie Norgrove T/A Cultural Consulting
Community Services,Consultants Fees,D3411,28/02/2017,1035351 - 0,1740.94,Revenue,20019317,NEIL STEVENSON
Community Services,Cleaning Materials,B1601,14/03/2017,1035354 - 0,521.75,Revenue,20016920,ALLIANCE DISPOSABLES LTD
Community Services,General Contracted Services,D3401,28/02/2017,1035369 - 0,7004.26,Revenue,20018633,PIGGOTTS COMPANY LTD
Community Services,Performance Fees,D3412,14/03/2017,1035434 - 0,19719.83,Revenue,20012562,OXFORD SPORTING FACILITIES TRUST
Community Services,Provisions,D3101,28/02/2017,1035448 - 0,91.50,Revenue,20017894,OTHC LEMON ZEST
Community Services,Town Hall Catering Recharge,D3104,28/02/2017,1035448 - 1,3845.50,Revenue,20017894,OTHC LEMON ZEST
Community Services,Main Contractor,Y021,28/02/2017,1035473 - 0,7720.00,Capital,20015951,MACE LIMITED
Community Services,General Contracted Services,D3401,14/03/2017,1035479 - 0,1000.00,Revenue,20016762,IAN NOLAN EVENTS LTD
Community Services,General Contracted Services,D3401,21/03/2017,1035486 - 0,2200.00,Revenue,20012539,BAY MEDIA LTD
Community Services,General Contracted Services,D3401,28/02/2017,1035487 - 0,740.00,Revenue,20009932,CONTINENTAL DRIFTS LTD
Community Services,General Contracted Services,D3401,14/03/2017,1035565 - 0,1000.00,Revenue,20016762,IAN NOLAN EVENTS LTD
Community Services,Consultants Fees,D3411,07/03/2017,1035576 - 0,2973.80,Revenue,20018107,PURCELL MILLER TRITTON LLP T/A PURCELL
Community Services,Cleaning Materials,B1601,28/03/2017,1035584 - 0,570.45,Revenue,20016920,ALLIANCE DISPOSABLES LTD
Community Services,General Contracted Services,D3401,21/03/2017,1035588 - 0,515.00,Revenue,20009730,R & R FRONTLINE SERVICES LTD
Community Services,Special Events,D3807,28/03/2017,1035590 - 0,625.00,Revenue,20019332,THE HORNIMAN MUSEUM AND PUBLIC PARK TRUST
Community Services,General Contracted Services,D3401,28/03/2017,1035608 - 0,18363.00,Revenue,20013923,SUTCLIFFE PLAY SOUTH WEST
Community Services,Subscriptions,D3703,07/03/2017,1035618 - 1,2000.00,Revenue,20016534,COUNTY SPORTS PARTNERSHIP NETWORK
Community Services,Management Development,A0637,07/03/2017,1035619 - 0,2000.00,Revenue,20016534,COUNTY SPORTS PARTNERSHIP NETWORK
Community Services,General Contracted Services,D3401,07/03/2017,1035625 - 0,2200.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Community Services,Special Events,D3807,07/03/2017,1035653 - 0,1125.00,Revenue,20017543,NOORANI EVENTS
Community Services,Instructors & Coaching Fees,D3413,21/03/2017,1035665 - 0,550.00,Revenue,20018516,PANATHLON FOUNDATIONS LTD
Community Services,General Contracted Services,D3401,14/03/2017,1035674 - 0,800.00,Revenue,20018825,INFUSEDANCE LTD
Community Services,General Contracted Services,D3401,07/03/2017,1035678 - 0,1500.00,Revenue,20019487,JONATHAN RUFFLE T/A FRESH FX
Community Services,General Contracted Services,D3401,14/03/2017,1035687 - 0,895.00,Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD
Community Services,General Contracted Services,D3401,07/03/2017,1035689 - 0,1750.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Community Services,Photocopying/Paper Supplies,D3306,21/03/2017,1035705 - 1,862.58,Revenue,20002121,CANON (UK) LTD
Community Services,Photocopying/Paper Supplies,D3306,21/03/2017,1035706 - 1,1484.58,Revenue,20002121,CANON (UK) LTD
Community Services,Photocopying/Paper Supplies,D3306,21/03/2017,1035713 - 1,569.46,Revenue,20002121,CANON (UK) LTD
Community Services,Consultants Fees,D3411,28/03/2017,1035741 - 0,1470.00,Revenue,20019305,BELVEDERE PROJECT SOLUTIONS LLP
Community Services,Grants,D3701,14/03/2017,1035746 - 0,3000.00,Revenue,20002893,CHERWELL DISTRICT COUNCIL
Community Services,General Contracted Services,D3401,14/03/2017,1035750 - 0,1350.00,Revenue,20016981,SCOPE SECURITY LTD
Community Services,Security Services,D3418,28/03/2017,1035760 - 0,3915.00,Revenue,20016981,SCOPE SECURITY LTD
Community Services,Security Services,D3418,28/03/2017,1035781 - 0,780.00,Revenue,20009730,R & R FRONTLINE SERVICES LTD
Community Services,Consultants Fees,D3411,21/03/2017,1035784 - 0,1724.86,Revenue,20019317,NEIL STEVENSON
Community Services,General Contracted Services,D3401,28/03/2017,1035787 - 0,2343.00,Revenue,20015058,CLEAR CHANNEL UK LTD
Community Services,General Contracted Services,D3401,28/03/2017,1035789 - 0,4602.05,Revenue,20019399,WENDY FLINT
Community Services,Instructors & Coaching Fees,D3413,28/03/2017,1035792 - 0,618.00,Revenue,20007924,SOUTH CENTRAL AMBULANCE SERVICE
Community Services,Subscriptions,D3703,28/03/2017,1035794 - 0,600.00,Revenue,20016048,INSTITUTE OF LICENSING (EVENTS) LTD
Community Services,Licences (Non-Transport),D3804,14/03/2017,1035799 - 0,1880.00,Revenue,20016534,COUNTY SPORTS PARTNERSHIP NETWORK
Community Services,Security Services,D3418,28/03/2017,1035836 - 0,452.80,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
Community Services,Security Services,D3418,28/03/2017,1035838 - 0,800.40,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
Community Services,Provisions,D3101,21/03/2017,1035839 - 1,882.50,Revenue,20009224,LAMB CATERING LTD
Community Services,General Contracted Services,D3401,21/03/2017,1035844 - 0,1000.00,Revenue,20019512,JUSTICE IN MOTION
Community Services,Consultants Fees,D3411,21/03/2017,1035859 - 0,6729.00,Revenue,20009686,M.E.L. RESEARCH LTD
Community Services,Contract Cleaning,B1602,21/03/2017,1035861 - 0,1010.00,Revenue,20018746,FLOOR RESTORE OXFORD LTD
Community Services,General Contracted Services,D3401,21/03/2017,1035869 - 0,450.00,Revenue,20003025,PETE RUSSELL
Community Services,General Contracted Services,D3401,21/03/2017,1035869 - 1,200.00,Revenue,20003025,PETE RUSSELL
Community Services,General Contracted Services,D3401,21/03/2017,1035870 - 0,2660.00,Revenue,20003025,PETE RUSSELL
Community Services,Short Courses,A0622,14/03/2017,1035889 - 0,2558.00,Revenue,20019489,LIVE & LEARN
Community Services,Furniture & Equipment Purchase,D3001,14/03/2017,1035896 - 0,6468.00,Revenue,20008520,NEWAUTO LTD
Community Services,General Contracted Services,D3401,21/03/2017,1035924 - 0,2070.00,Revenue,20019192,YMCA GEORGE WILLIAMS COLLEGE
Community Services,Consultants Fees,D3411,21/03/2017,1035927 - 0,1500.00,Revenue,20018796,MATERIALS SCIENCE CONSULTANTS LTD
Community Services,Security Services,D3418,21/03/2017,1035975 - 0,3786.79,Revenue,20011183,SELECT SECURITY & STEWARDING LIMITED
Community Services,Books & Publications,D3302,21/03/2017,1035984 - 0,1000.00,Revenue,20008780,LEYS NEWS LTD
Community Services,Instructors & Coaching Fees,D3413,21/03/2017,1036000 - 0,960.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Community Services,General Contracted Services,D3401,21/03/2017,1036042 - 0,10822.67,Revenue,20013769,FIROKA (OXFORD UNITED STADIUM) LTD
Community Services,Grants,D3701,21/03/2017,1036059 - 0,2725.00,Revenue,20019186,RUGBY LEAGUE INSPIRES
Community Services,Instructors & Coaching Fees,D3413,28/03/2017,1036068 - 0,6236.50,Revenue,20018888,OXFORDSHIRE YOUTH
Community Services,Advertising & Publicity,D3802,28/03/2017,1036082 - 0,999.00,Revenue,20018382,EXPERIENCE OXFORDSHIRE
Community Services,Contributions,D3702,28/03/2017,1036087 - 0,2056.25,Revenue,20018434,NHS OXFORDSHIRE CCG
Community Services,Instructors & Coaching Fees,D3413,28/03/2017,1036090 - 0,1000.00,Revenue,20019186,RUGBY LEAGUE INSPIRES
Community Services,General Contracted Services,D3401,28/03/2017,1036100 - 0,750.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Community Services,General Contracted Services,D3401,28/03/2017,1036105 - 0,3600.00,Revenue,20018478,MYCALIBRATIONS.COM.LTD
Community Services,General Contracted Services,D3401,28/03/2017,1036108 - 0,955.50,Revenue,20018320,ABINGDON SCHOOL
Community Services,Instructors & Coaching Fees,D3413,28/03/2017,1036113 - 0,3200.00,Revenue,20008178,WEST OXFORDSHIRE DISTRICT COUNCIL GENERAL A/C
Community Services,General Contracted Services,D3401,28/03/2017,1036161 - 0,2050.00,Revenue,20019533,PRACTICALPARTICIPATION LTD
Community Services,Public Transport,C2501,28/03/2017,1036227 - 0,808.00,Revenue,20006596,OXFORD BUS COMPANY LTD
Community Services,Public Transport,C2501,28/03/2017,1036227 - 1,2424.00,Revenue,20006596,OXFORD BUS COMPANY LTD
Community Services,Public Transport,C2501,28/03/2017,1036227 - 2,202.00,Revenue,20006596,OXFORD BUS COMPANY LTD
Community Services,Public Transport,C2501,28/03/2017,1036227 - 3,202.00,Revenue,20006596,OXFORD BUS COMPANY LTD
Community Services,Books & Publications,D3302,28/03/2017,1036272 - 7,14.95,Revenue,20007625,MR TIM GRESSWELL
Community Services,Contributions,D3702,10/01/2017,46292173 - 1,1325.00,Revenue,20017901,WOLVERCOTE NEIGHBOURHOOD FORUM
Community Services,Contributions,D3702,10/01/2017,46292174 - 1,1325.00,Revenue,20017901,WOLVERCOTE NEIGHBOURHOOD FORUM
Community Services,Contributions,D3702,10/01/2017,46292175 - 1,500.00,Revenue,20017842,WOLVERCOTE YOUNG PEOPLES CLUB LTD
Community Services,Contributions,D3702,10/01/2017,46292176 - 1,500.00,Revenue,20017842,WOLVERCOTE YOUNG PEOPLES CLUB LTD
Community Services,Contributions,D3702,10/01/2017,46292180 - 1,600.00,Revenue,20000019,GRANT PAYMENTS
Community Services,Grants,D3701,10/01/2017,46292211 - 1,8907.50,Revenue,20004323,ELMORE COMMUNITY SERVICES
Community Services,Consultants Fees,D3411,24/01/2017,46292212 - 9,129.00,Revenue,20011499,TOPS
Community Services,Temporary Bureau Staffing,A0108,17/01/2017,46292253 - 18,102.80,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Community Services,Grants,D3701,17/01/2017,46292255 - 1,10458.00,Revenue,20008698,OXFORD HOMELESS PATHWAYS
Community Services,Grants,D3701,17/01/2017,46292256 - 1,11962.50,Revenue,20008698,OXFORD HOMELESS PATHWAYS
Community Services,Grants,D3701,17/01/2017,46292257 - 1,19510.00,Revenue,20010077,"BLACKBIRD LEYS N""HOOD SUPPORT SCHEME"
Community Services,Instructors & Coaching Fees,D3413,17/01/2017,46292258 - 1,1000.00,Revenue,20000019,GRANT PAYMENTS
Community Services,Grants,D3701,31/01/2017,46292278 - 1,70178.60,Revenue,20019143,ST MUNGOS
Community Services,Grants,D3701,17/01/2017,46292293 - 1,5000.00,Revenue,20014454,EMMAUS OXFORD (STORE) LIMITED
Community Services,Grants,D3701,17/01/2017,46292300 - 1,957.90,Revenue,20011006,ASPIRE OXFORDSHIRE COMMUNITY ENTERPRISE LTD
Community Services,Contributions,D3702,17/01/2017,46292303 - 1,500.00,Revenue,20005002,WEST OXFORD COMMUNITY ASSOC.
Community Services,Grants,D3701,17/01/2017,46292305 - 1,50000.00,Revenue,20008184,CITIZENS ADVICE BUREAU
Community Services,Grants,D3701,17/01/2017,46292306 - 1,50000.00,Revenue,20008184,CITIZENS ADVICE BUREAU
Community Services,Grants,D3701,17/01/2017,46292310 - 1,500.00,Revenue,20005129,BLACKBIRD LEYS CREDIT UNION
Community Services,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 1,574.26,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 2,2419.77,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 5,2037.89,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 6,1107.36,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 38,2103.39,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Grants,D3701,24/01/2017,46292363 - 1,500.00,Revenue,20000019,GRANT PAYMENTS
Community Services,Grants,D3701,24/01/2017,46292367 - 1,1000.00,Revenue,20000019,GRANT PAYMENTS
Community Services,Grants,D3701,24/01/2017,46292368 - 1,984.50,Revenue,20000019,GRANT PAYMENTS
Community Services,Grants,D3701,24/01/2017,46292382 - 1,3750.00,Revenue,20010187,OSARCC
Community Services,Grants,D3701,24/01/2017,46292383 - 1,3750.00,Revenue,20010187,OSARCC
Community Services,Grants,D3701,24/01/2017,46292384 - 1,800.00,Revenue,20000019,GRANT PAYMENTS
Community Services,Grants,D3701,31/01/2017,46292406 - 1,932.00,Revenue,20015423,ANGELA CONLAN
Community Services,Grants,D3701,31/01/2017,46292430 - 1,8770.50,Revenue,20015408,A2 DOMINION NORTH LTD
Community Services,Grants,D3701,31/01/2017,46292431 - 1,8770.50,Revenue,20015408,A2 DOMINION NORTH LTD
Community Services,Grants,D3701,07/02/2017,46292478 - 1,10884.00,Revenue,20012251,OXFORDSHIRE COMMUNITY VOLUNTARY ACTION (OCVA)
Community Services,Instructors & Coaching Fees,D3413,14/02/2017,46292550 - 1,1540.00,Revenue,20000019,GRANT PAYMENTS
Community Services,Consultants Fees,D3411,28/02/2017,46292552 - 8,84.00,Revenue,20011499,TOPS
Community Services,Grants,D3701,14/02/2017,46292578 - 1,21869.50,Revenue,20009161,ROSE HILL & DONNINGTON ADVICE CENTRE LTD
Community Services,Grants,D3701,21/02/2017,46292595 - 1,1000.00,Revenue,20018343,EUTON DALEY
Community Services,Temporary Bureau Staffing,A0108,14/02/2017,46292607 - 1,456.73,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,14/02/2017,46292607 - 2,2027.20,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,14/02/2017,46292607 - 4,2309.14,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,14/02/2017,46292607 - 5,507.13,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,14/02/2017,46292607 - 36,2328.63,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Grants,D3701,21/02/2017,46292612 - 1,5375.00,Revenue,20012913,FCC RECYCLING (UK) LTD
Community Services,Grants,D3701,21/02/2017,46292613 - 1,5375.00,Revenue,20012913,FCC RECYCLING (UK) LTD
Community Services,Awards / Prizes,D3705,21/02/2017,46292636 - 1,5000.00,Revenue,20009538,CUTTESLOWE COMMUNITY ASSOCIATION
Community Services,Contributions,D3702,21/02/2017,46292638 - 1,2500.00,Revenue,20000018,Homelessness Holding Fee Misc Account
Community Services,Contributions,D3702,07/03/2017,46292782 - 1,500.00,Revenue,20000019,GRANT PAYMENTS
Community Services,Contributions,D3702,07/03/2017,46292785 - 1,500.00,Revenue,20000019,GRANT PAYMENTS
Community Services,Contributions,D3702,07/03/2017,46292786 - 1,500.00,Revenue,20015863,COWLEY ROAD WORKS (EAST OXFORD ACTION CHARITY)
Community Services,Grants,D3701,07/03/2017,46292793 - 1,1222.00,Revenue,20000019,GRANT PAYMENTS
Community Services,Security Services,D3418,21/03/2017,46292872 - 1,7573.61,Revenue,20011183,SELECT SECURITY & STEWARDING LIMITED
Community Services,Temporary Bureau Staffing,A0108,14/03/2017,46292899 - 1,457.24,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,14/03/2017,46292899 - 2,2373.71,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,14/03/2017,46292899 - 6,1700.80,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,14/03/2017,46292899 - 7,718.57,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,14/03/2017,46292899 - 23,2230.41,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Temporary Bureau Staffing,A0108,14/03/2017,46292899 - 41,2588.50,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Community Services,Grants,D3701,14/03/2017,46292900 - 1,500.00,Revenue,20009501,THE LEYS CDI
Community Services,Grants,D3701,14/03/2017,46292901 - 1,1282.00,Revenue,20018888,OXFORDSHIRE YOUTH
Community Services,Grants,D3701,14/03/2017,46292902 - 1,1000.00,Revenue,20018888,OXFORDSHIRE YOUTH
Community Services,Grants,D3701,14/03/2017,46292903 - 1,1000.00,Revenue,20019273,VIVA NETWORK
Community Services,Grants,D3701,14/03/2017,46292904 - 1,1000.00,Revenue,20018891,OXFORD AGAINST CUTTING
Community Services,Grants,D3701,14/03/2017,46292905 - 1,2000.00,Revenue,20008209,DONNINGTON DOORSTEP
Community Services,Grants,D3701,14/03/2017,46292906 - 1,2000.00,Revenue,20008209,DONNINGTON DOORSTEP
Community Services,Grants,D3701,21/03/2017,46292956 - 1,500.00,Revenue,20015250,OXFORD PHILHARMONIC ORCHESTRA TRUST
Community Services,Grants,D3701,21/03/2017,46292958 - 1,500.00,Revenue,20019320,HOST OXFORD LTD
Community Services,Grants,D3701,14/03/2017,46292959 - 1,500.00,Revenue,20016573,COMMUNITY EMERGENCY FOODBANK
Community Services,Grants,D3701,21/03/2017,46292979 - 1,500.00,Revenue,20009717,ARK T CENTRE
Community Services,Grants,D3701,21/03/2017,46292980 - 1,500.00,Revenue,20009717,ARK T CENTRE
Community Services,Grants,D3701,21/03/2017,46292991 - 1,28627.75,Revenue,20009163,OXFORD COMMUNITY WORK AGENCY L
Community Services,Contributions,D3702,21/03/2017,46292998 - 1,500.00,Revenue,20000019,GRANT PAYMENTS
Community Services,Grants,D3701,21/03/2017,46293000 - 1,740.00,Revenue,20008142,TRAX
Community Services,Grants,D3701,21/03/2017,46293014 - 1,750.00,Revenue,20011181,OXFORD INTERNATIONAL LINKS
Community Services,Grants,D3701,21/03/2017,46293015 - 1,1000.00,Revenue,20009273,ASYLUM WELCOME
Community Services,Grants,D3701,21/03/2017,46293016 - 1,500.00,Revenue,20009501,THE LEYS CDI
Community Services,Grants,D3701,21/03/2017,46293017 - 1,500.00,Revenue,20004720,THE ARCHWAY FOUNDATION
Community Services,Grants,D3701,21/03/2017,46293018 - 1,3000.00,Revenue,20016440,ARTS AT THE OLD FIRE STATION
Community Services,Grants,D3701,21/03/2017,46293020 - 1,1000.00,Revenue,20017627,INNOVISTA INTERNATIONAL
Community Services,Grants,D3701,21/03/2017,46293021 - 1,500.00,Revenue,20009133,BLACKBIRD LEYS ADVENTURE PLAYGROUND
Community Services,Grants,D3701,21/03/2017,46293022 - 1,1000.00,Revenue,20009501,THE LEYS CDI
