Service Area,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name
"Planning, Sustainable Dev & Regulatory",Temporary Bureau Staffing,A0108,16/05/2017,46293675 - 12,17589.82,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
"Planning, Sustainable Dev & Regulatory",Temporary Bureau Staffing,A0108,16/05/2017,46293675 - 34,1229.81,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
"Planning, Sustainable Dev & Regulatory",Temporary Bureau Staffing,A0108,16/05/2017,46293675 - 39,1149.79,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
"Planning, Sustainable Dev & Regulatory",Advertising & Publicity,D3802,06/06/2017,46293984 - 1,1749,Revenue,20000000,GENERAL EXPENSES
"Planning, Sustainable Dev & Regulatory",Temporary Bureau Staffing,A0108,13/06/2017,46294016 - 8,17216.96,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
"Planning, Sustainable Dev & Regulatory",Temporary Bureau Staffing,A0108,13/06/2017,46294016 - 18,2634.08,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
"Planning, Sustainable Dev & Regulatory",Temporary Bureau Staffing,A0108,13/06/2017,46294016 - 19,1132.5,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
"Planning, Sustainable Dev & Regulatory",Consultants Fees,D3411,13/06/2017,46294032 - 1,7710,Revenue,20019393,WALLINGFORD HYDROSOLUTIONS LTD
"Planning, Sustainable Dev & Regulatory",General Contracted Services,D3401,20/06/2017,46294188 - 1,4820,Revenue,20000000,GENERAL EXPENSES
"Planning, Sustainable Dev & Regulatory",Hospitality,D3803,20/06/2017,46294198 - 1,743,Revenue,20000000,GENERAL EXPENSES
"Planning, Sustainable Dev & Regulatory",Licences,K9571,20/06/2017,46294203 - 1,599,Revenue,20000017,ENVIRONMENTAL HEALTH REFUNDS
Environmental Development,Grants-Private Persons,Y005,03/05/2017,1036098 - 0,1042.49,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,04/04/2017,1036159 - 0,4622,Capital,20014420,C M RAYSON BUILDERS
Environmental Development,Grants-Private Persons,Y005,04/04/2017,1036186 - 1,20000,Capital,20017827,OWEN CASHELL GENERAL BUILDER
Environmental Development,Grants-Private Persons,Y005,04/04/2017,1036222 - 0,3745,Capital,20010352,DOMESTIC LIFT SERVICES LTD
Environmental Development,Grants-Private Persons,Y005,25/04/2017,1036280 - 0,1749.03,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,11/04/2017,1036377 - 0,4500,Capital,20019448,GORDON DAVIS
Environmental Development,Grants-Private Persons,Y005,11/04/2017,1036393 - 0,5020,Capital,20014420,C M RAYSON BUILDERS
Environmental Development,Grants-Private Persons,Y005,19/04/2017,1036707 - 0,5910,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,03/05/2017,1036976 - 0,4165,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,03/05/2017,1036978 - 0,10970.78,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,16/05/2017,1036979 - 0,1880,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,09/05/2017,1037165 - 0,1600,Capital,20019568,ASELFORD PLUMBING & HEATING
Environmental Development,Grants-Private Persons,Y005,16/05/2017,1037212 - 0,5519,Capital,20015923,ABLE LIVING SOLUTIONS
Environmental Development,Grants-Private Persons,Y005,16/05/2017,1037306 - 0,4830,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,16/05/2017,1037307 - 0,1495,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,16/05/2017,1037308 - 0,1390,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,16/05/2017,1037348 - 0,595,Capital,20014420,C M RAYSON BUILDERS
Environmental Development,Grants-Private Persons,Y005,13/06/2017,1037459 - 0,4575,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,31/05/2017,1037557 - 0,1700,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,31/05/2017,1037641 - 0,2228.85,Capital,20000222,ELLIOTT & JORDAN LTD
Environmental Development,Grants-Private Persons,Y005,31/05/2017,1037652 - 0,2989,Capital,20016993,OXFORDSHIRE WET ROOMS & SHOWERS
Environmental Development,Grants-Private Persons,Y005,06/06/2017,1037690 - 0,500,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,06/06/2017,1037797 - 0,800,Capital,20016167,MR P A SMITH
Environmental Development,Grants-Private Persons,Y005,27/06/2017,1037830 - 0,1885,Capital,20012692,FREECHOICE GROUP
Environmental Development,Grants-Private Persons,Y005,13/06/2017,1037854 - 0,886.5,Capital,20019568,ASELFORD PLUMBING & HEATING
Environmental Development,Grants-Private Persons,Y005,06/06/2017,1037875 - 0,1369.83,Capital,20000222,ELLIOTT & JORDAN LTD
Environmental Development,Grants-Private Persons,Y005,30/05/2017,1038265 - 0,2254.5,Capital,20017827,OWEN CASHELL GENERAL BUILDER
Environmental Development,Grants-Private Persons,Y005,14/06/2017,1038267 - 1,6254.5,Capital,20017827,OWEN CASHELL GENERAL BUILDER
Environmental Development,Grants-Private Persons,Y005,27/06/2017,1038284 - 0,2491,Capital,20017827,OWEN CASHELL GENERAL BUILDER
Environmental Development,Grants-Private Persons,Y005,27/06/2017,1038346 - 0,5600,Capital,20014420,C M RAYSON BUILDERS
Housing Services,Temporary Bureau Staffing,A0108,04/04/2017,1035842 - 0,1063.75,Revenue,20018833,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD
Housing Services,Specialist Services,B1306,04/04/2017,1035972 - 0,592,Revenue,20019495,TOTAL GRAPHICS SOLUTIONS RF LTD
Housing Services,Services Maintenance (Planned),B1103,04/04/2017,1035989 - 0,17850.75,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Temporary Bureau Staffing,A0108,11/04/2017,1036026 - 0,1063.75,Revenue,20018833,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD
Housing Services,Services Maintenance (Planned),B1103,11/04/2017,1036091 - 2,2376.72,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Services Maintenance (Planned),B1103,11/04/2017,1036091 - 3,-70,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Services Maintenance (Planned),B1103,11/04/2017,1036091 - 4,105,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Services Maintenance (Planned),B1103,11/04/2017,1036091 - 5,332.66,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Energy Conservation,B1165,19/04/2017,1036148 - 1,1240,Revenue,20019044,COMPLIANCE365
Housing Services,Bond Payments Homeless,D3600,04/04/2017,1036191 - 0,440,Revenue,20011972,EXTREME ENVIRONMENTAL SERVICES LTD
Housing Services,Bond Payments Homeless,D3600,04/04/2017,1036194 - 0,420,Revenue,20011972,EXTREME ENVIRONMENTAL SERVICES LTD
Housing Services,Temporary Bureau Staffing,A0108,19/04/2017,1036231 - 0,1063.75,Revenue,20018833,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD
Housing Services,General Contracted Services,D3401,19/04/2017,1036233 - 0,750,Revenue,20019532,UK FLOOD DEFENCES LTD
Housing Services,Energy Conservation,B1165,04/04/2017,1036258 - 0,2592,Revenue,20018537,AGILITY SURVEY LTD
Housing Services,Social Lettings Agency,D3606,19/04/2017,1036275 - 0,44484,Revenue,20019143,ST MUNGOS
Housing Services,Energy Conservation,B1165,11/04/2017,1036340 - 0,960,Revenue,20018537,AGILITY SURVEY LTD
Housing Services,Temporary Bureau Staffing,A0108,25/04/2017,1036399 - 0,1063.75,Revenue,20018833,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,25/04/2017,1036422 - 0,789.4,Revenue,20010433,IDEAL FLOORING (OXFORD) LTD
Housing Services,Subscriptions,D3703,11/04/2017,1036484 - 0,21873,Revenue,20014707,IHS (GLOBAL) LTD
Housing Services,Energy Conservation,B1165,11/04/2017,1036510 - 0,2338,Revenue,20018537,AGILITY SURVEY LTD
Housing Services,Energy Conservation,B1165,25/04/2017,1036514 - 0,675,Revenue,20019431,ELLIPSE ENERGY LIMITED
Housing Services,Services Maintenance (Planned),B1103,11/04/2017,1036549 - 1,75,Revenue,20000249,SSE CONTRACTING LTD
Housing Services,Services Maintenance (Planned),B1103,25/04/2017,1036568 - 0,16179,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,25/04/2017,1036609 - 0,720,Revenue,20016656,AKSWARD LTD
Housing Services,Services Maintenance (Planned),B1103,03/05/2017,1036614 - 2,2724.03,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Services Maintenance (Planned),B1103,03/05/2017,1036614 - 3,192.5,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Services Maintenance (Planned),B1103,03/05/2017,1036614 - 4,8416.21,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,03/05/2017,1036776 - 0,870,Revenue,20017850,SAFESITE LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,03/05/2017,1036777 - 0,3255,Revenue,20017850,SAFESITE LTD
Housing Services,Temporary Bureau Staffing,A0108,31/05/2017,1036795 - 1,1063.75,Revenue,20018833,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD
Housing Services,Temporary Bureau Staffing,A0108,16/05/2017,1036797 - 0,862.5,Revenue,20018833,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD
Housing Services,Bond Payments Homeless,D3600,19/04/2017,1036800 - 0,1198.7,Revenue,20011218,FOCUSPLAIN LIMITED
Housing Services,Services Maintenance (Planned),B1103,09/05/2017,1036803 - 2,1229.83,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Services Maintenance (Planned),B1103,13/06/2017,1036815 - 4,407,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Services Maintenance (Planned),B1103,13/06/2017,1036815 - 5,93.26,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Services Maintenance (Planned),B1103,13/06/2017,1036815 - 6,1814.75,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Main Contractor,Y021,25/04/2017,1036827 - 0,809,Capital,20013257,CITY INSULATION CONTRACTORS LIMITED
Housing Services,General Contracted Services,D3401,25/04/2017,1036848 - 0,20000,Revenue,20013694,SHELTER
Housing Services,Consultants Fees,D3411,25/04/2017,1036850 - 0,650,Revenue,20013489,BAKER SHEPHERD GILLESPIE
Housing Services,Reactive Maintenance & Minor Repairs,B1101,09/05/2017,1036856 - 0,13109.47,Revenue,20019417,DMA SIGNS LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,09/05/2017,1036857 - 0,1475.09,Revenue,20019417,DMA SIGNS LTD
Housing Services,Temporary Bureau Staffing,A0108,23/05/2017,1037045 - 0,876.88,Revenue,20018833,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD
Housing Services,Homelessness Accommodation Lease Payments,D3611,03/05/2017,1037058 - 1,25000,Revenue,20010426,OXFORD REAL LIMITED
Housing Services,Reactive Maintenance & Minor Repairs,B1101,23/05/2017,1037086 - 0,2564,Revenue,20018693,SWINDON ASBESTOS SURVEYING LTD
Housing Services,Homelessness Accommodation Lease Payments,D3611,31/05/2017,1037101 - 1,5361,Revenue,20010650,MR JOHN KEOWN
Housing Services,Homelessness Accommodation Lease Payments,D3611,31/05/2017,1037102 - 1,5361,Revenue,20010650,MR JOHN KEOWN
Housing Services,Homelessness Accommodation Lease Payments,D3611,31/05/2017,1037103 - 1,5025,Revenue,20010650,MR JOHN KEOWN
Housing Services,Services Maintenance (Planned),B1103,23/05/2017,1037107 - 0,19499.36,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Services Maintenance (Planned),B1103,09/05/2017,1037160 - 0,727.08,Revenue,20006133,GREENFLOW
Housing Services,Furniture & Equipment Purchase,D3001,09/05/2017,1037175 - 0,1500,Revenue,20007932,FURNISHED HOMES (UNDERLEY FURNISHINGS) LTD
Housing Services,Services Maintenance (Planned),B1103,09/05/2017,1037196 - 1,432.34,Revenue,20002507,THE CHILTERN LIFT CO LTD
Housing Services,Temporary Bureau Staffing,A0108,31/05/2017,1037216 - 0,905.63,Revenue,20018833,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD
Housing Services,Bond Payments Homeless,D3600,16/05/2017,1037236 - 0,660,Revenue,20011972,EXTREME ENVIRONMENTAL SERVICES LTD
Housing Services,Main Contractor,Y021,16/05/2017,1037314 - 0,14100,Capital,20002369,RIDGE & PARTNERS LLP
Housing Services,Reactive Maintenance & Minor Repairs,B1101,31/05/2017,1037318 - 0,24500,Revenue,20009825,MAYLARCH ENVIRONMENTAL LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,16/05/2017,1037347 - 0,2395,Revenue,20011508,D A MILES & SONS
Housing Services,Services Maintenance (Planned),B1103,06/06/2017,1037405 - 3,4534.7,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,16/05/2017,1037423 - 0,1296,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Subscriptions,D3703,23/05/2017,1037506 - 0,6750,Revenue,20013618,ASSOCIATION OF RETAINED COUNCIL HOUSING
Housing Services,Reactive Maintenance & Minor Repairs,B1101,23/05/2017,1037525 - 0,1955,Revenue,20011508,D A MILES & SONS
Housing Services,Reactive Maintenance & Minor Repairs,B1101,23/05/2017,1037526 - 0,2006,Revenue,20011508,D A MILES & SONS
Housing Services,Capital Scheme Budget,Y000,13/06/2017,1037536 - 0,10000,Capital,20008467,JONES LANG LASALLE LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,31/05/2017,1037597 - 0,715,Revenue,20000397,WINDRUSH DOOR & WINDOW SERVICES LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,23/05/2017,1037598 - 0,2250,Revenue,20000397,WINDRUSH DOOR & WINDOW SERVICES LTD
Housing Services,Consultants Fees,D3411,20/06/2017,1037638 - 0,3410.61,Revenue,20019073,TROWN HOUSING CONSULTANCY
Housing Services,Subscriptions,D3703,31/05/2017,1037657 - 1,1309,Revenue,20011643,BSI
Housing Services,Reactive Maintenance & Minor Repairs,B1101,31/05/2017,1037687 - 0,3389,Revenue,20013614,SMS ENVIRONMENTAL LIMITED
Housing Services,Reactive Maintenance & Minor Repairs,B1101,31/05/2017,1037688 - 0,1064,Revenue,20013614,SMS ENVIRONMENTAL LIMITED
Housing Services,Reactive Maintenance & Minor Repairs,B1101,06/06/2017,1037695 - 0,950,Revenue,20019316,TRUTH LTD T/A KJC FELT ROOFING
Housing Services,Reactive Maintenance & Minor Repairs,B1101,06/06/2017,1037697 - 0,465,Revenue,20019316,TRUTH LTD T/A KJC FELT ROOFING
Housing Services,Reactive Maintenance & Minor Repairs,B1101,06/06/2017,1037698 - 0,795,Revenue,20019316,TRUTH LTD T/A KJC FELT ROOFING
Housing Services,Reactive Maintenance & Minor Repairs,B1101,31/05/2017,1037702 - 1,700,Revenue,20019316,TRUTH LTD T/A KJC FELT ROOFING
Housing Services,Reactive Maintenance & Minor Repairs,B1101,31/05/2017,1037704 - 0,750,Revenue,20019316,TRUTH LTD T/A KJC FELT ROOFING
Housing Services,Main Contractor,Y021,31/05/2017,1037711 - 0,1017.32,Capital,20016705,SOUTHERN ELECTRIC POWER DISTRIBUTION PLC
Housing Services,Services Maintenance (Planned),B1103,31/05/2017,1037745 - 0,6553.5,Revenue,20013614,SMS ENVIRONMENTAL LIMITED
Housing Services,Services Maintenance (Planned),B1103,31/05/2017,1037746 - 0,19171.4,Revenue,20013614,SMS ENVIRONMENTAL LIMITED
Housing Services,Services Maintenance (Planned),B1103,31/05/2017,1037747 - 0,15998,Revenue,20013614,SMS ENVIRONMENTAL LIMITED
Housing Services,Services Maintenance (Planned),B1103,06/06/2017,1037771 - 0,14658,Revenue,20013614,SMS ENVIRONMENTAL LIMITED
Housing Services,Reactive Maintenance & Minor Repairs,B1101,13/06/2017,1037793 - 0,550,Revenue,20018743,OXFORD SOUND & MEDIA
Housing Services,Reactive Maintenance & Minor Repairs,B1101,06/06/2017,1037795 - 0,560,Revenue,20010837,DICK RUDMAN
Housing Services,Services Maintenance (Planned),B1103,20/06/2017,1037796 - 0,19951.61,Revenue,20000210,BARKER & EVANS LTD
Housing Services,Bond Payments Homeless,D3600,06/06/2017,1037800 - 0,1514.5,Revenue,20011218,FOCUSPLAIN LIMITED
Housing Services,Bond Payments Homeless,D3600,06/06/2017,1037801 - 0,1529,Revenue,20011218,FOCUSPLAIN LIMITED
Housing Services,Homelessness Accommodation Lease Payments,D3611,20/06/2017,1037886 - 1,17290,Revenue,20011218,FOCUSPLAIN LIMITED
Housing Services,Homelessness Accommodation Lease Payments,D3611,20/06/2017,1037887 - 1,19760,Revenue,20011218,FOCUSPLAIN LIMITED
Housing Services,Homelessness Accommodation Lease Payments,D3611,27/06/2017,1037888 - 1,17680,Revenue,20011218,FOCUSPLAIN LIMITED
Housing Services,Services Maintenance (Planned),B1103,13/06/2017,1037968 - 0,360,Revenue,20004494,COTSWOLD LIFTS LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,13/06/2017,1038002 - 0,445,Revenue,20019316,TRUTH LTD T/A KJC FELT ROOFING
Housing Services,Reactive Maintenance & Minor Repairs,B1101,13/06/2017,1038003 - 0,458,Revenue,20019316,TRUTH LTD T/A KJC FELT ROOFING
Housing Services,Services Maintenance (Planned),B1103,20/06/2017,1038014 - 1,2175.61,Revenue,20002568,PYROTEC SERVICES LTD
Housing Services,Services Maintenance (Planned),B1103,20/06/2017,1038025 - 2,2577.15,Revenue,20002568,PYROTEC SERVICES LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,20/06/2017,1038095 - 0,2706,Revenue,20000244,OXFORD REFRIGERATION LTD
Housing Services,Services Maintenance (Planned),B1103,20/06/2017,1038103 - 1,5379,Revenue,20013614,SMS ENVIRONMENTAL LIMITED
Housing Services,Reactive Maintenance & Minor Repairs,B1101,20/06/2017,1038113 - 0,600,Revenue,20017850,SAFESITE LTD
Housing Services,Services Maintenance (Planned),B1103,27/06/2017,1038156 - 0,560,Revenue,20002568,PYROTEC SERVICES LTD
Housing Services,Services Maintenance (Planned),B1103,27/06/2017,1038170 - 0,1850,Revenue,20015973,CBG CONSULTANTS LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,27/06/2017,1038177 - 0,945,Revenue,20019316,TRUTH LTD T/A KJC FELT ROOFING
Housing Services,Reactive Maintenance & Minor Repairs,B1101,27/06/2017,1038178 - 0,750,Revenue,20019316,TRUTH LTD T/A KJC FELT ROOFING
Housing Services,Reactive Maintenance & Minor Repairs,B1101,27/06/2017,1038179 - 0,628,Revenue,20019316,TRUTH LTD T/A KJC FELT ROOFING
Housing Services,Reactive Maintenance & Minor Repairs,B1101,27/06/2017,1038208 - 0,1498,Revenue,20011508,D A MILES & SONS
Housing Services,Reactive Maintenance & Minor Repairs,B1101,27/06/2017,1038209 - 0,1855,Revenue,20011508,D A MILES & SONS
Housing Services,Reactive Maintenance & Minor Repairs,B1101,27/06/2017,1038210 - 0,1599,Revenue,20011508,D A MILES & SONS
Housing Services,Reactive Maintenance & Minor Repairs,B1101,27/06/2017,1038266 - 0,760,Revenue,20016518,BESPOKE STONEMASONRY SERVICES LTD
Housing Services,Furniture & Equipment Purchase,D3001,27/06/2017,1038305 - 0,1290,Revenue,20007932,FURNISHED HOMES (UNDERLEY FURNISHINGS) LTD
Housing Services,Reactive Maintenance & Minor Repairs,B1101,27/06/2017,1038313 - 0,2650,Revenue,20011508,D A MILES & SONS
Housing Services,Reactive Maintenance & Minor Repairs,B1101,27/06/2017,1038325 - 0,1995,Revenue,20011508,D A MILES & SONS
Housing Services,Grants,D3701,04/04/2017,46293066 - 1,5964,Revenue,20004693,CRISIS
Housing Services,Homeless Prevention,D3426,04/04/2017,46293171 - 1,701.7,Revenue,20014702,PREMIER LETTING
Housing Services,Grants,D3701,04/04/2017,46293179 - 1,1617,Revenue,20015791,A2 DOMINION GROUP
Housing Services,Grants,D3701,04/04/2017,46293180 - 1,15000,Revenue,20008698,OXFORD HOMELESS PATHWAYS
Housing Services,Grants,D3701,04/04/2017,46293181 - 1,4500,Revenue,20007948,CHENEY SCHOOL ACADEMY TRUST
Housing Services,Rent Allowance Cheques (Home Choice),F5033,04/04/2017,46293199 - 1,4125,Revenue,20016904,CHARLIE MCDONAGH
Housing Services,Homeless Prevention,D3426,04/04/2017,46293218 - 1,2442.6,Revenue,20019537,MR MANAWWAR NASIR
Housing Services,Homeless Prevention,D3426,04/04/2017,46293221 - 1,625,Revenue,20019538,SURELET CHELTENHAM
Housing Services,Other Miscellaneous Expenses,D3811,04/04/2017,46293222 - 1,1000,Revenue,20014702,PREMIER LETTING
Housing Services,Homeless Prevention,D3426,04/04/2017,46293251 - 1,500,Revenue,20000010,HOUSING PAYMENTS
Housing Services,Homeless Prevention,D3426,04/04/2017,46293255 - 1,1232.76,Revenue,20000010,HOUSING PAYMENTS
Housing Services,Other Miscellaneous Expenses,D3811,04/04/2017,46293263 - 1,1027.4,Revenue,20014702,PREMIER LETTING
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293303 - 1,500,Revenue,20000010,HOUSING PAYMENTS
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293305 - 1,750,Revenue,20014496,SANJAY BHANDARI
Housing Services,Homeless Prevention,D3426,11/04/2017,46293306 - 1,830,Revenue,20019548,MR MALCOLM SPIERS
Housing Services,Homeless Prevention,D3426,11/04/2017,46293307 - 1,500,Revenue,20000010,HOUSING PAYMENTS
Housing Services,Homeless Prevention,D3426,11/04/2017,46293310 - 1,612.14,Revenue,20015871,MR W MUELLER
Housing Services,Homeless Prevention,D3426,03/04/2017,46293313 - 1,2035,Revenue,20019442,MR E ALDWORTH/MR MJ NASH
Housing Services,Consultants Fees,D3411,25/04/2017,46293331 - 11,42,Revenue,20011499,TOPS
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293332 - 1,3300,Revenue,20015668,LINCOMBE PROPERTY SERVICES
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293333 - 1,4350,Revenue,20015668,LINCOMBE PROPERTY SERVICES
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293334 - 1,3300,Revenue,20019555,MISS VELMA SHALLOW
Housing Services,Homeless Prevention,D3426,11/04/2017,46293336 - 1,1212,Revenue,20019556,MR DANIEL O'DONNELL
Housing Services,Other Miscellaneous Expenses,D3811,11/04/2017,46293337 - 1,1152.3,Revenue,20000018,Homelessness Holding Fee Misc Account
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293339 - 1,900,Revenue,20019475,AMY TERBLANCHE & REAGAN HOOPER
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293339 - 2,213.57,Revenue,20019475,AMY TERBLANCHE & REAGAN HOOPER
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293340 - 1,545.52,Revenue,20016682,MR MANESH GANDHI
Housing Services,Homeless Prevention,D3426,11/04/2017,46293341 - 1,1000,Revenue,20019549,MRS J BEGUM
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293342 - 1,1017.75,Revenue,20019549,MRS J BEGUM
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293343 - 1,1246,Revenue,20019549,MRS J BEGUM
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293344 - 1,2100,Revenue,20015665,ABBEY PROPERTIES
Housing Services,Homeless Prevention,D3426,11/04/2017,46293345 - 1,1091.04,Revenue,20019550,DAVID & CAROLINE BRANDON
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293347 - 1,510,Revenue,20000010,HOUSING PAYMENTS
Housing Services,Rent Allowance Cheques (Home Choice),F5033,11/04/2017,46293348 - 1,895,Revenue,20015359,URWIN (OXFORD)LTD T/AS MARTIN & CO CLIENT A/C
Housing Services,Grants,D3701,11/04/2017,46293360 - 1,4610,Revenue,20000000,GENERAL EXPENSES
Housing Services,Grants,D3701,11/04/2017,46293371 - 1,16220.5,Revenue,20010170,CONNECTION SUPPORT
Housing Services,Grants,D3701,11/04/2017,46293372 - 1,1911,Revenue,20010170,CONNECTION SUPPORT
Housing Services,Homeless Prevention,D3426,11/04/2017,46293393 - 1,2035.5,Revenue,20019442,MR E ALDWORTH/MR MJ NASH
Housing Services,Temporary Bureau Staffing,A0108,19/04/2017,46293414 - 6,19874.25,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Housing Services,Temporary Bureau Staffing,A0108,19/04/2017,46293414 - 20,1808.87,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Housing Services,Services Maintenance (Planned),B1103,25/04/2017,46293417 - 4,200,Revenue,20004494,COTSWOLD LIFTS LTD
Housing Services,Services Maintenance (Planned),B1103,25/04/2017,46293417 - 5,80,Revenue,20004494,COTSWOLD LIFTS LTD
Housing Services,Services Maintenance (Planned),B1103,25/04/2017,46293417 - 6,40,Revenue,20004494,COTSWOLD LIFTS LTD
Housing Services,Fire Alarms and Emergency Lighting,B1241,19/04/2017,46293418 - 6,669.85,Revenue,20002568,PYROTEC SERVICES LTD
Housing Services,Fire Alarms and Emergency Lighting,B1241,19/04/2017,46293418 - 8,1859.65,Revenue,20002568,PYROTEC SERVICES LTD
Housing Services,Rent Allowance Cheques (Home Choice),F5033,25/04/2017,46293476 - 1,1042.5,Revenue,20010426,OXFORD REAL LIMITED
Housing Services,Rent Allowance Cheques (Home Choice),F5033,25/04/2017,46293484 - 1,1800,Revenue,20019475,AMY TERBLANCHE & REAGAN HOOPER
Housing Services,Rent Allowance Cheques (Home Choice),F5033,25/04/2017,46293484 - 2,791.04,Revenue,20019475,AMY TERBLANCHE & REAGAN HOOPER
Housing Services,Rent Allowance Cheques (Home Choice),F5033,25/04/2017,46293484 - 3,900,Revenue,20019475,AMY TERBLANCHE & REAGAN HOOPER
Housing Services,Homeless Prevention,D3426,25/04/2017,46293491 - 1,1691.04,Revenue,20019571,MS STACEY CHURCHER
Housing Services,Homeless Prevention,D3426,25/04/2017,46293493 - 1,2400,Revenue,20019574,MR M AND MRS A BHOMRA
Housing Services,Rent Allowance Cheques (Home Choice),F5033,03/05/2017,46293560 - 1,3300,Revenue,20014513,MR M LENTHALL
Housing Services,Rent Allowance Cheques (Home Choice),F5033,03/05/2017,46293561 - 1,2775,Revenue,20015204,A B I PROPERTIES
Housing Services,Rent Allowance Cheques (Home Choice),F5033,03/05/2017,46293562 - 1,2775,Revenue,20015204,A B I PROPERTIES
Housing Services,Rent Allowance Cheques (Home Choice),F5033,03/05/2017,46293563 - 1,2775,Revenue,20015204,A B I PROPERTIES
Housing Services,Rent Allowance Cheques (Home Choice),F5033,03/05/2017,46293564 - 1,2775,Revenue,20015204,A B I PROPERTIES
Housing Services,Rent Allowance Cheques (Home Choice),F5033,03/05/2017,46293565 - 1,975,Revenue,20019581,MR MUSAHID SYED
Housing Services,Rent Allowance Cheques (Home Choice),F5033,03/05/2017,46293566 - 1,1691.04,Revenue,20019581,MR MUSAHID SYED
Housing Services,Grants,D3701,09/05/2017,46293608 - 1,777,Revenue,20010170,CONNECTION SUPPORT
Housing Services,Homeless Prevention,D3426,09/05/2017,46293624 - 1,625,Revenue,20019538,SURELET CHELTENHAM
